nm,nest,treat,gender,i_width,i_weight,i_body,i_BMI,i_age,i_mark,i_invest,mi_hier,i_conflict,mean_temp,max_temp,temp_range,group_size,i_wrestle.num,i_attack.num,i_chase.num,i_escape.num,Tb,max_temp_time,conflict_invest,attack_invest,wrestle_invest,chase_invest,escape_invest,Tc
n0560 =,n0560,control,male,5.7,253,44.38596491,7.787011388,92,=,126.3522,2,17,NA,NA,NA,2.7,4,2,0,11,NA,NA,0.134544551,0.015828771,0.031657541,0,0.087058239,NA
n0560 A,n0560,control,male,5.85,374,63.93162393,10.92848272,95,A,4693.01982,1,45,NA,NA,NA,2.7,13,23,7,2,NA,NA,0.009588709,0.004900896,0.002770071,0.001491577,0.000426165,NA
n0560 H,n0560,control,female,5.3,278,52.45283019,9.896760413,75,H,424.7932,2,17,NA,NA,NA,2.7,5,2,0,10,NA,NA,0.040019473,0.004708173,0.011770433,0,0.023540866,NA
n0560 o,n0560,control,male,4.45,176,39.5505618,8.887766696,78,o,287.02094,3,34,NA,NA,NA,2.7,11,1,0,22,NA,NA,0.118458256,0.003484066,0.03832473,0,0.07664946,NA
n0560 O,n0560,control,female,5.72,325,56.81818182,9.93324857,78,O,175.00348,3,18,NA,NA,NA,2.7,1,0,0,17,NA,NA,0.102855098,0,0.005714172,0,0.097140925,NA
n0560 X,n0560,control,female,5.52,353,63.94927536,11.58501365,89,X,4225.61456,1,16,NA,NA,NA,2.7,6,9,1,0,NA,NA,0.003786431,0.002129868,0.001419912,0.000236652,0,NA
n0615 =,n0615,control,male,5.01,218,43.51297405,8.685224362,98,=,869.7055,3,8,0.3875,2.7,3.4,2.6,4,0,0,4,15.65882353,1.050225,0.009198516,0,0.004599258,0,0.004599258,15.21764706
n0615 A,n0615,control,male,5.51,247,44.82758621,8.135678077,128,A,1781.59788,2,4,-0.05,0.6,1.2,2.6,1,1,0,2,15.8375,1.600372222,0.002245176,0.000561294,0.000561294,0,0.001122588,15.8875
n0615 H,n0615,control,female,4.45,203,45.61797753,10.25123091,95,H,478.459,2,5,-0.514285714,0.3,1.4,2.6,1,0,0,4,15.77142857,1.100311111,0.010450216,0,0.002090043,0,0.008360173,16.28571429
n0615 o,n0615,control,male,5.39,289,53.61781076,9.947645781,95,o,1961.56718,1,14,0.157894737,2,2.8,2.6,5,5,2,2,15.43030303,1.200319444,0.00713715,0.002548982,0.002548982,0.001019593,0.001019593,15.26969697
n0615 O,n0615,control,female,6.08,381,62.66447368,10.30665686,122,O,3178.15933,1,6,0.142307692,1,1.3,2.6,1,4,1,0,15.39512195,1.950561111,0.001887885,0.00125859,0.000314648,0.000314648,0,15.1902439
n0615 X,n0615,control,female,5.08,217,42.71653543,8.408766818,98,X,794.039,2,5,-0.52,-0.1,1.1,2.6,0,0,0,5,16.02,0.350144444,0.00629692,0,0,0,0.00629692,16.54
n0616 =,n0616,control,male,4.75,198,41.68421053,8.775623269,95,=,47.89665,2,15,1.816666667,2.6,2.1,3,3,4,0,7,16.2375,1.100113889,0.313174303,0.083513148,0.062634861,0,0.146148008,15.0125
